id;ruolo;nome;squadra;partiteGiocate;mediaVoto;mediaFantaVoto;goalFatti;goalSubiti;rp;rc;r+;r-;assist;asf;ammonizioni;espulsioni;autoGoal;isFavorite
790;D;SAMIR;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
795;A;EL SHAARAWY;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
798;D;SKRINIAR;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
801;C;GAGLIARDINI;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
819;A;FAVILLI;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
824;D;ADJAPONG;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
827;C;LOCATELLI;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1839;A;EDERA;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1843;P;RADU I.;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1847;D;CALDARA;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1850;C;KESSIE';Milan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1851;C;MOLINA S.;Crotone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1852;D;SPINAZZOLA;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1864;D;BRUNO ALVES;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1866;D;CEPPITELLI;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1868;D;MURRU;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1869;D;PISACANE;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1870;C;BARELLA;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1871;C;DEIOLA;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1874;A;JOAO PEDRO;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1876;D;PAJAC;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1879;A;FARIAS;Spezia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1882;A;SAU;Benevento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1889;P;CORDAZ;Crotone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1890;P;FESTA;Crotone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1891;D;CECCHERINI;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1895;D;FERRARI G.;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1915;C;TELLO;Benevento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1917;P;DRAGOWSKI;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1921;P;ZIMA;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1930;P;PINSOGLIO;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1933;C;MANDRAGORA;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1934;P;STRAKOSHA;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1939;A;LAPADULA;Benevento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1943;A;NESTOROVSKI;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1946;P;ARESTI;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1950;D;MAZZOTTA;Crotone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1958;A;CAPRARI;Benevento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1974;A;SCHICK;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1978;C;SENSI;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1979;D;BARRECA;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1982;C;PARIGINI;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1987;C;JANKTO;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1995;C;DJURICIC;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1996;C;DE PAUL;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1997;A;SIMY;Crotone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1998;A;PJACA;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
1999;D;LUKAKU J.;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2002;C;CHIESA;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2006;D;LIROLA;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2007;D;WALLACE;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2008;C;LINETTY;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2009;C;LUKIC;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2011;C;MIGUEL VELOSO;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2012;A;MILIK;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2013;A;RICCI F.;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2016;D;FAZIO;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2038;A;PINAMONTI;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2061;A;SIMEONE;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2062;D;BASTOS;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2075;C;CRISTOFORO;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2076;C;ROG;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2077;C;PASALIC;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2083;D;BIRASCHI;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2085;C;LUIS ALBERTO;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2087;D;OLIVERA M.;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2104;D;BERESZYNSKI;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2107;C;KIYINE;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2116;D;FARAGO';Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2119;A;DEULOFEU;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2120;D;BASTONI;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2121;C;MELEGONI;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2124;C;ZAJC;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2130;D;HATEBOER;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2137;A;SCAMACCA;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2141;D;DEPAOLI;Benevento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2143;D;CUOMO;Crotone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2144;C;COULIBALY;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2154;A;VIGNATO;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2155;A;CUTRONE;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2160;D;GOSENS;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2163;A;CORNELIUS;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2164;D;MILENKOVIC;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2166;C;BENTANCUR;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2167;A;ORSOLINI;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2168;D;MUSACCHIO;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2169;D;RODRIGUEZ R.;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2170;P;MILINKOVIC-SAVIC V.;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2171;D;LYANCO;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2172;C;BARAK;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2174;D;VENUTI;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2178;P;CRAGNO;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
2179;P;SIRIGU;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;false
